,pred
0,0.07295331855566929
1,0.022164449011453296
2,0.027374571432219014
3,0.8229804570491971
4,0.03112212247334396
5,0.01698097771476794
6,0.6094406414409529
7,0.511531792199312
8,0.3496053085463037
9,0.0005395034227567825
10,0.10171431214179959
11,0.33484613602524
12,0.001396661103931032
13,0.32459504444516457
14,0.054610587897676525
15,0.054120932116818635
16,0.046317646924042534
17,0.008766362984921778
18,0.4491202496375497
19,0.3475340551086898
20,0.00396734228797738
21,0.9892299663760202
22,0.9889595734399662
23,0.2335788878406754
24,0.2871277173032008
25,0.8101661741558848
26,0.9937938521295496
27,0.08762050335869274
28,0.2717793362009374
29,0.43526745028006375
30,0.7772351710269884
31,0.4819984387700605
32,0.17919834508070714
33,0.10758861205295733
34,0.9898053166131184
35,0.0026462025549698637
36,0.5422201956835104
37,0.009838108187197362
38,0.6773602145150447
39,0.04567695503433821
40,0.04158124740940043
41,0.014106372275457624
42,0.3467343253893996
43,0.6766725149102661
44,0.31167193912555285
45,0.0063737169620374495
46,0.3342410518670015
47,0.9042216322688738
48,0.01155577530692007
49,0.7181089276033302
50,0.12254270028276036
51,0.012581502235369954
52,0.008949264520652509
53,0.0334062923213124
54,0.026444392416987803
55,0.0015451349832307007
56,0.0005569613614959443
57,0.9275621428594757
58,0.007916370402007888
59,0.14872722347178874
60,0.22515827523142753
61,0.5010574457149823
62,0.0012930815505533396
63,0.07494065548234846
64,0.18916117983132216
65,0.761626575503146
66,0.009511217535363554
67,0.03739334430991825
68,0.7968901322241504
69,0.6745312623361545
70,0.011260879039198908
71,0.007854137233973279
72,0.0009133890728017618
73,0.009194645108245995
74,0.00993520568645276
75,0.043319396548130044
76,0.007724912223689922
77,0.007430992023500901
78,0.23919233760240777
79,0.038727111304613385
80,0.0039455037243190695
81,0.38119938499767203
82,0.04015872960778159
83,0.38081589207350375
84,0.5901791628392642
85,0.480194696232274
86,0.2820066792735251
87,0.39110696774931036
88,0.01645979767906628
89,0.4345496245421982
90,0.9310882227211951
91,0.9969365232489075
92,0.009744115063905599
93,0.39759775438347866
94,0.6344327784434115
95,0.06040117343819871
96,0.009869521933255243
97,0.3882371691225819
98,0.014705549635815435
99,0.4376692661879861
100,0.0011057049640390084
101,0.049992105511095966
102,0.5848573046567421
103,0.07247795807176963
104,0.0025285079461009096
105,0.01701352504187202
106,0.05941350585642224
107,0.18053415283806803
108,0.5118650058525834
109,0.9151969409371462
110,0.2516009886031916
111,0.8718152272464816
112,0.00028888904461841174
113,0.1588412562638374
114,0.295668952728344
115,0.2357542398206524
116,0.011979716659983203
117,0.20508813029213097
118,0.007823829398779833
119,0.02403035129422237
120,0.012769141940612136
121,0.9793906241960173
122,0.04912215101151485
123,0.5090652649123274
124,0.12113426571129966
125,0.12489438701214794
126,0.03283873339563899
127,0.005634704246195098
128,0.5260262742229507
129,0.04477119101423786
130,0.013353049248535573
131,0.002492856823965131
132,0.7175030783559693
133,0.025689285654000284
134,0.005089835569858932
135,0.5965332948243901
136,0.4865189629481483
137,0.009604204549550665
138,0.001002425379954822
139,0.35455945580557346
140,0.0008113008413515796
141,0.04719878773443388
142,0.001941106239330602
143,0.0022347786753282683
144,0.4431683334379738
145,0.003761265200744244
146,0.984095838196411
147,0.004103067420872964
148,0.18255337697182025
149,0.9817262547511199
150,0.0722497645060808
151,0.5826191544285224
152,0.0038260988707748715
153,0.16141846150438025
154,0.02870187659830605
155,0.007454906673684472
156,0.9974076298574865
157,0.009659646093946336
158,0.002319704110195153
159,0.00995068934898187
160,0.20670665705598487
161,0.6273962682303798
162,0.9942296437323855
163,0.2303262908145969
164,0.12236977271255872
165,0.0010470909474918615
166,0.24391634097144352
167,0.07394266277181577
168,0.9338915943396696
169,0.02087401729623829
170,0.03643729945487907
171,0.04086592216839621
172,0.011610665664066086
173,0.002273733496875768
174,0.37725594141780605
175,0.6240968387927301
176,0.2614106452960619
177,0.993189800279871
178,0.747210488891731
179,0.35900266278027954
180,0.4603868093280771
181,0.02946915678802822
182,0.020502931523540737
183,0.583013323244616
184,0.3472531337139096
185,0.008688082898707464
186,0.002602725513210958
187,0.40771762671546113
188,0.99606257710705
189,0.6115435933895603
190,0.25679876021827625
191,0.05670301339876729
192,0.43483259620324477
193,0.010426267450769699
194,0.0038157524927024005
195,0.016750825072156996
196,0.021111740889889576
197,0.0007422660289989163
198,0.05986341909360004
199,0.007788231220409104
200,0.002525453853706362
201,0.007409447069268273
202,0.5961504696460969
203,0.5350313179647093
204,0.0377213967106297
205,0.5034266133675785
206,0.02247989122769324
207,0.07938077706277372
208,0.2627187490080401
209,0.7179015809514617
210,0.0029964167128500125
211,0.0025993922810753113
212,0.0881967103497831
213,0.04595274167352989
214,0.13786304269894148
215,0.06072157108750036
216,0.015120192998866034
217,0.08416367807939168
218,0.0005948935004264586
219,0.06570223037084448
220,0.15011256406542747
221,0.5290065679341978
222,0.47818393220309247
223,0.5648666953556915
224,0.8016359911595196
225,0.5584343286894734
226,0.005722634759537403
227,0.2631827364098687
228,0.03335038159963826
229,0.013854863299279175
230,0.002107351332825314
231,0.0026889358863185736
232,0.0009577504463623685
233,0.0034246402816755146
234,0.9697748037411922
235,0.010836395663321799
236,0.2863067761471806
237,0.32555371762071295
238,0.020154845404801627
239,0.015198635472671465
240,0.9957926678946132
241,0.7356972208011574
242,0.007097567333410651
243,0.004074078084747582
244,0.16989154232367634
245,0.09756333027486869
246,0.419260626300992
247,0.02279912930441787
248,0.008960605329701972
249,0.6335044547940476
250,0.002034441897580807
251,0.7185338374871733
252,0.9935456839895089
253,0.0023967657520755645
254,0.0018233764536996675
255,0.023732146700475257
256,0.0009484094034951988
257,0.002956383359755802
258,0.004905006636306113
259,0.11424870790526248
260,0.4560352515270416
261,0.17813582544929615
262,0.09475999658282079
263,0.055661169825227536
264,0.009235584736748978
265,0.6438884405600265
266,0.01481917513036103
267,0.1750787096997254
268,0.005018120682035228
269,0.0019455886880116707
270,0.9949685806169242
271,0.34232825947025036
272,0.0024366049405760213
273,0.0006299174020679446
274,0.5208381521023309
275,0.007997600201018468
276,0.0026884202165564303
277,0.2921963112105006
278,0.07061545979179067
279,0.011288312219710222
280,0.8422570108691735
281,0.00047953514225068926
282,0.0022133057595409085
283,0.011316911833843021
284,0.023090772113506162
285,0.0010569074253652256
286,0.031352865829268405
287,0.33005401779978977
288,0.01878565985469703
289,0.9694329486168781
290,0.4146329031959234
291,0.07365141102659803
292,0.3143288790652147
293,0.08838679177901154
294,0.01407946561323748
295,0.02223720033054743
296,0.044889838098334064
297,0.11145962130045832
298,0.011404857912738653
299,0.09037842515813886
300,0.014031220052731882
301,0.008337262977086972
302,0.041163290150628334
303,0.3525337056303857
