,pred
0,57912.01
1,4953.08
2,12836.47
3,5985.9
4,5438.35
5,1972.49
6,56432.53
7,5840.51
8,58598.61
9,3498.0
10,5655.92
11,69291.0
12,8343.61
13,56990.5
14,4604.72
15,5121.3
16,5852.37
17,2662.33
18,8248.67
19,49870.35
20,72112.3
21,2562.5
22,59681.8
23,4833.85
24,4925.49
25,9748.89
26,65688.96
27,6758.01
28,9992.62
29,48239.31
30,5455.41
31,9602.2
32,30946.46
33,4206.64
34,4443.45
35,4632.98
36,45987.51
37,2400.56
38,9399.54
39,44479.38
40,6186.71
41,6078.41
42,5226.56
43,5051.21
44,5008.9
45,9434.77
46,3940.29
47,4484.13
48,60178.69
49,3611.41
50,13150.93
51,71162.7
52,64684.89
53,7413.82
54,5047.92
55,5546.47
56,6330.4
57,59298.16
58,8005.16
59,49042.2
60,2550.11
61,5438.68
62,28132.66
63,3096.84
64,52842.08
65,5252.66
66,64984.21
67,12283.14
68,51086.62
69,5134.99
70,9840.69
71,11557.75
72,2140.08
73,62138.16
74,4777.96
75,3910.64
76,2219.04
77,7799.97
78,53440.04
79,6904.79
80,2729.87
81,3600.93
82,9921.5
83,6841.28
84,11363.55
85,7468.22
86,7412.74
87,5738.93
88,5487.37
89,10525.33
90,50271.0
91,5201.04
92,2876.03
93,6898.08
94,66086.66
95,51667.12
96,4647.14
97,10587.115
98,47255.9
99,44689.74
100,3735.94
101,4555.42
102,3109.2
103,6443.14
104,4373.33
105,15701.63
106,59402.09
107,10014.59
108,4466.81
109,11232.29
110,5820.81
111,13985.22
112,32453.62
113,8203.27
114,7316.41
115,13651.79
116,6100.41
117,68777.13
118,12574.72
119,54681.87
120,17029.62
121,51844.04
122,48219.99
123,5083.27
124,4603.75
125,5609.39
126,10212.6
127,54234.12
128,4219.81
129,5216.39
130,57328.53
131,11070.43
132,7324.14
133,6508.69
134,3288.92
135,12406.36
136,6810.05
137,7379.86
138,5647.99
139,5883.58
140,18218.01
141,6557.51
142,6340.27
143,9395.5
144,6467.71
145,53799.44
146,5436.77
147,10395.17
148,10058.07
149,36320.38
150,6527.91
151,6780.55
152,2352.79
153,8924.15
154,50213.88
155,5154.3
156,3328.6
157,3651.57
158,8034.13
159,8416.32
160,58980.87
161,2836.98
162,50541.87
163,11691.78
164,4308.69
165,3625.54
166,5398.82
167,2269.19
168,10430.22
169,2352.44
170,2930.05
171,9504.19
172,6764.73
173,12239.87
174,4072.35
175,42324.25
176,1728.01
177,10532.66
178,53235.39
179,10476.3
180,4387.55
181,4777.79
182,6851.27
183,2366.96
184,50373.99
185,4541.23
186,55832.34
187,9446.59
188,2593.79
189,6619.54
190,6576.31
191,2873.37
192,21137.22
193,5717.08
194,4430.14
195,12669.68
196,9301.05
197,47721.83
198,5078.43
199,8714.06
200,2760.01
201,6044.18
202,16470.47
203,47326.27
204,4312.82
205,7861.52
206,50162.61
207,6260.47
208,11427.2
209,57533.68
210,4644.5
211,53266.64
212,49654.18
213,4683.4
214,5126.89
215,3123.36
216,9924.62
217,60905.97
218,3406.3
219,3369.18
220,41098.73
221,70063.71
222,9616.14
223,42950.76
224,61263.77
225,11291.5
226,53370.37
227,2849.63
228,6109.88
229,64047.49
230,65173.08
231,47341.37
232,11008.27
233,7477.35
234,64588.6
235,28305.08
236,80438.34
237,55450.24
238,47225.67
239,4115.07
240,1773.56
241,63827.97
242,16543.24
243,4928.76
244,6165.72
245,8447.0
246,5209.2
247,2369.15
248,10137.79
249,3097.67
250,8945.8
251,4639.21
252,5599.73
253,3687.87
254,5851.93
255,11778.38
256,47700.89
257,5673.98
258,1325.67
259,64952.8
260,13311.29
261,55336.89
262,46479.14
263,5662.49
264,5491.92
265,72353.4
266,5877.98
267,56464.93
268,4578.28
269,6914.45
270,5231.68
271,5865.99
272,2987.24
273,18603.98
274,17162.91
275,62226.88
276,2657.64
277,5768.44
278,6208.62
279,7127.09
280,8620.68
281,69004.63
282,6515.14
283,5327.5
284,7579.8
